Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Impetigo,red_sore_around_nose,yellow_crust_ooze,skin_rash,blister,,,,,,,,,,,,,
Impetigo,red_sore_around_nose,itching,yellow_crust_ooze,skin_rash,,,,,,,,,,,,,
Impetigo,skin_rash,blister,,,,,,,,,,,,,,,
Impetigo,skin_rash,itching,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,skin_rash,itching,,,,,,,,,,,,,,,
Impetigo,blister,itching,,,,,,,,,,,,,,,
Impetigo,skin_rash,itching,red_sore_around_nose,,,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,skin_rash,,,,,,,,,,,,,,,
Impetigo,skin_rash,yellow_crust_ooze,itching,red_sore_around_nose,blister,,,,,,,,,,,,
Impetigo,blister,yellow_crust_ooze,,,,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,itching,red_sore_around_nose,blister,skin_rash,,,,,,,,,,,,
Impetigo,skin_rash,blister,itching,,,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,itching,,,,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,red_sore_around_nose,,,,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,skin_rash,itching,red_sore_around_nose,blister,,,,,,,,,,,,
Impetigo,skin_rash,yellow_crust_ooze,blister,red_sore_around_nose,itching,,,,,,,,,,,,
Impetigo,itching,blister,yellow_crust_ooze,,,,,,,,,,,,,,
Impetigo,blister,yellow_crust_ooze,itching,,,,,,,,,,,,,,
Impetigo,skin_rash,red_sore_around_nose,yellow_crust_ooze,blister,itching,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,red_sore_around_nose,skin_rash,,,,,,,,,,,,,,
Impetigo,itching,blister,,,,,,,,,,,,,,,
Impetigo,red_sore_around_nose,skin_rash,,,,,,,,,,,,,,,
Impetigo,blister,itching,red_sore_around_nose,skin_rash,yellow_crust_ooze,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,blister,itching,skin_rash,,,,,,,,,,,,,
Impetigo,itching,red_sore_around_nose,,,,,,,,,,,,,,,
Impetigo,red_sore_around_nose,blister,itching,skin_rash,,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,red_sore_around_nose,,,,,,,,,,,,,,,
Impetigo,blister,yellow_crust_ooze,,,,,,,,,,,,,,,
Impetigo,red_sore_around_nose,itching,yellow_crust_ooze,blister,skin_rash,,,,,,,,,,,,
Impetigo,skin_rash,red_sore_around_nose,blister,itching,,,,,,,,,,,,,
Impetigo,skin_rash,yellow_crust_ooze,blister,red_sore_around_nose,,,,,,,,,,,,,
Impetigo,itching,skin_rash,,,,,,,,,,,,,,,
Impetigo,red_sore_around_nose,itching,blister,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,itching,red_sore_around_nose,,,,,,,,,,,,,,,
Impetigo,skin_rash,blister,itching,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,
Impetigo,skin_rash,itching,,,,,,,,,,,,,,,
Impetigo,red_sore_around_nose,yellow_crust_ooze,,,,,,,,,,,,,,,
Impetigo,red_sore_around_nose,blister,skin_rash,,,,,,,,,,,,,,
Impetigo,blister,red_sore_around_nose,skin_rash,itching,,,,,,,,,,,,,
Impetigo,blister,red_sore_around_nose,,,,,,,,,,,,,,,
Impetigo,yellow_crust_ooze,itching,,,,,,,,,,,,,,,
Impetigo,itching,yellow_crust_ooze,red_sore_around_nose,skin_rash,blister,,,,,,,,,,,,
Impetigo,blister,red_sore_around_nose,,,,,,,,,,,,,,,
Impetigo,itching,skin_rash,red_sore_around_nose,blister,yellow_crust_ooze,,,,,,,,,,,,
Impetigo,blister,itching,skin_rash,yellow_crust_ooze,,,,,,,,,,,,,
Impetigo,blister,red_sore_around_nose,,,,,,,,,,,,,,,
Hypertension,dizziness,loss_of_balance,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,chest_pain,dizziness,loss_of_balance,headache,,,,,,,,,,,,
Hypertension,headache,loss_of_balance,,,,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,headache,loss_of_balance,,,,,,,,,,,,,
Hypertension,loss_of_balance,lack_of_concentration,dizziness,headache,chest_pain,,,,,,,,,,,,
Hypertension,lack_of_concentration,loss_of_balance,headache,dizziness,,,,,,,,,,,,,
Hypertension,lack_of_concentration,chest_pain,,,,,,,,,,,,,,,
Hypertension,dizziness,headache,loss_of_balance,chest_pain,,,,,,,,,,,,,
Hypertension,loss_of_balance,dizziness,headache,,,,,,,,,,,,,,
Hypertension,dizziness,headache,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,dizziness,,,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,headache,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension,dizziness,headache,chest_pain,lack_of_concentration,,,,,,,,,,,,,
Hypertension,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,,
Hypertension,loss_of_balance,dizziness,chest_pain,lack_of_concentration,headache,,,,,,,,,,,,
Hypertension,chest_pain,loss_of_balance,,,,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,lack_of_concentration,headache,loss_of_balance,,,,,,,,,,,,
Hypertension,dizziness,loss_of_balance,lack_of_concentration,chest_pain,headache,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,loss_of_balance,,,,,,,,,,,,,,,
Hypertension,loss_of_balance,headache,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,dizziness,chest_pain,loss_of_balance,,,,,,,,,,,,
Hypertension,chest_pain,loss_of_balance,dizziness,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,loss_of_balance,lack_of_concentration,dizziness,,,,,,,,,,,,
Hypertension,loss_of_balance,lack_of_concentration,headache,chest_pain,dizziness,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,chest_pain,loss_of_balance,,,,,,,,,,,,,
Hypertension,headache,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,dizziness,chest_pain,headache,,,,,,,,,,,,,
Hypertension,chest_pain,loss_of_balance,headache,lack_of_concentration,dizziness,,,,,,,,,,,,
Hypertension,chest_pain,loss_of_balance,dizziness,headache,lack_of_concentration,,,,,,,,,,,,
Hypertension,lack_of_concentration,chest_pain,loss_of_balance,headache,,,,,,,,,,,,,
Hypertension,chest_pain,headache,,,,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,loss_of_balance,headache,lack_of_concentration,,,,,,,,,,,,
Hypertension,headache,loss_of_balance,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,chest_pain,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,loss_of_balance,dizziness,lack_of_concentration,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,headache,,,,,,,,,,,,,,
Hypertension,loss_of_balance,dizziness,lack_of_concentration,,,,,,,,,,,,,,
Hypertension,dizziness,headache,,,,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,loss_of_balance,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,loss_of_balance,dizziness,chest_pain,,,,,,,,,,,,
Hypertension,chest_pain,headache,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension,chest_pain,loss_of_balance,headache,lack_of_concentration,,,,,,,,,,,,,
Hypertension,loss_of_balance,headache,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,headache,lack_of_concentration,,,,,,,,,,,,,
Hypertension,chest_pain,headache,,,,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,loss_of_balance,chest_pain,dizziness,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,dizziness,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,chest_pain,,,,,,,,,,,,,,,
Hypertension,dizziness,headache,loss_of_balance,,,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,loss_of_balance,,,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,headache,lack_of_concentration,,,,,,,,,,,,,
Hypertension,loss_of_balance,lack_of_concentration,chest_pain,dizziness,,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,headache,,,,,,,,,,,,,,
Hypertension,loss_of_balance,headache,dizziness,chest_pain,,,,,,,,,,,,,
Hypertension,chest_pain,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,,
Hypertension,loss_of_balance,dizziness,chest_pain,headache,lack_of_concentration,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,lack_of_concentration,headache,loss_of_balance,,,,,,,,,,,,
Hypertension,headache,dizziness,loss_of_balance,,,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,chest_pain,headache,loss_of_balance,,,,,,,,,,,,
Hypertension,dizziness,loss_of_balance,headache,,,,,,,,,,,,,,
Hypertension,chest_pain,headache,loss_of_balance,lack_of_concentration,,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,headache,loss_of_balance,,,,,,,,,,,,,
Hypertension,headache,dizziness,lack_of_concentration,chest_pain,,,,,,,,,,,,,
Hypertension,chest_pain,headache,lack_of_concentration,dizziness,,,,,,,,,,,,,
Hypertension,lack_of_concentration,chest_pain,headache,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,dizziness,chest_pain,,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,headache,loss_of_balance,chest_pain,,,,,,,,,,,,
Hypertension,loss_of_balance,headache,chest_pain,dizziness,lack_of_concentration,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,loss_of_balance,headache,dizziness,,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,chest_pain,dizziness,,,,,,,,,,,,,
Hypertension,loss_of_balance,headache,dizziness,,,,,,,,,,,,,,
Hypertension,dizziness,headache,,,,,,,,,,,,,,,
Hypertension,loss_of_balance,headache,,,,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,chest_pain,loss_of_balance,headache,,,,,,,,,,,,
Hypertension,lack_of_concentration,dizziness,,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,chest_pain,dizziness,loss_of_balance,,,,,,,,,,,,
Hypertension,headache,dizziness,loss_of_balance,lack_of_concentration,chest_pain,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,loss_of_balance,,,,,,,,,,,,,,
Hypertension,dizziness,loss_of_balance,,,,,,,,,,,,,,,
Hypertension,chest_pain,headache,loss_of_balance,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,headache,dizziness,loss_of_balance,,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,loss_of_balance,chest_pain,,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,,,,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,headache,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,lack_of_concentration,,,,,,,,,,,,,,
Hypertension,loss_of_balance,headache,dizziness,lack_of_concentration,chest_pain,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,loss_of_balance,chest_pain,headache,,,,,,,,,,,,
Hypertension,dizziness,lack_of_concentration,,,,,,,,,,,,,,,
Hypertension,dizziness,chest_pain,,,,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,chest_pain,,,,,,,,,,,,,,
Hypertension,chest_pain,headache,,,,,,,,,,,,,,,
Hypertension,loss_of_balance,lack_of_concentration,headache,,,,,,,,,,,,,,
Hypertension,headache,dizziness,lack_of_concentration,chest_pain,loss_of_balance,,,,,,,,,,,,
Hypertension,chest_pain,headache,loss_of_balance,dizziness,lack_of_concentration,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,lack_of_concentration,headache,dizziness,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,dizziness,lack_of_concentration,,,,,,,,,,,,,
Hypertension,chest_pain,loss_of_balance,,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,,,,,,,,,,,,,,,
Hypertension,headache,loss_of_balance,dizziness,chest_pain,,,,,,,,,,,,,
Hypertension,dizziness,headache,lack_of_concentration,loss_of_balance,,,,,,,,,,,,,
Hypertension,loss_of_balance,chest_pain,headache,lack_of_concentration,,,,,,,,,,,,,
Hypertension,lack_of_concentration,dizziness,headache,chest_pain,loss_of_balance,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,dizziness,chest_pain,,,,,,,,,,,,,
Hypertension,chest_pain,dizziness,headache,lack_of_concentration,loss_of_balance,,,,,,,,,,,,
Hypertension,lack_of_concentration,loss_of_balance,dizziness,chest_pain,,,,,,,,,,,,,
Hypertension,headache,chest_pain,,,,,,,,,,,,,,,
Hypertension,chest_pain,headache,,,,,,,,,,,,,,,
Hypertension,headache,dizziness,,,,,,,,,,,,,,,
Hypertension,headache,lack_of_concentration,chest_pain,,,,,,,,,,,,,,
Hypertension,lack_of_concentration,loss_of_balance,chest_pain,,,,,,,,,,,,,,
Hypertension,headache,chest_pain,dizziness,loss_of_balance,lack_of_concentration,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,back_pain,loss_of_appetite,passage_of_gases,abdominal_pain,,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,vomiting,back_pain,indigestion,loss_of_appetite,abdominal_pain,,,,,,,,,,,
Peptic ulcer diseae,back_pain,internal_itching,indigestion,passage_of_gases,abdominal_pain,vomiting,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,back_pain,vomiting,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,loss_of_appetite,vomiting,indigestion,back_pain,passage_of_gases,internal_itching,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,loss_of_appetite,abdominal_pain,vomiting,,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,indigestion,abdominal_pain,vomiting,passage_of_gases,loss_of_appetite,internal_itching,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,back_pain,indigestion,internal_itching,vomiting,,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,internal_itching,back_pain,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,loss_of_appetite,passage_of_gases,back_pain,abdominal_pain,indigestion,vomiting,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,vomiting,loss_of_appetite,passage_of_gases,back_pain,indigestion,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,passage_of_gases,back_pain,abdominal_pain,indigestion,internal_itching,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,abdominal_pain,vomiting,indigestion,back_pain,,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,indigestion,vomiting,internal_itching,abdominal_pain,passage_of_gases,back_pain,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,indigestion,loss_of_appetite,back_pain,internal_itching,abdominal_pain,vomiting,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,indigestion,vomiting,back_pain,abdominal_pain,passage_of_gases,,,,,,,,,,,
Peptic ulcer diseae,back_pain,abdominal_pain,passage_of_gases,loss_of_appetite,indigestion,vomiting,internal_itching,,,,,,,,,,
Peptic ulcer diseae,internal_itching,indigestion,abdominal_pain,back_pain,loss_of_appetite,passage_of_gases,vomiting,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,loss_of_appetite,vomiting,internal_itching,passage_of_gases,indigestion,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,passage_of_gases,vomiting,,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,loss_of_appetite,vomiting,back_pain,,,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,vomiting,back_pain,loss_of_appetite,passage_of_gases,indigestion,,,,,,,,,,,
Peptic ulcer diseae,back_pain,passage_of_gases,internal_itching,indigestion,vomiting,abdominal_pain,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,indigestion,abdominal_pain,vomiting,back_pain,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,abdominal_pain,loss_of_appetite,indigestion,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,back_pain,vomiting,loss_of_appetite,indigestion,internal_itching,passage_of_gases,,,,,,,,,,
Peptic ulcer diseae,internal_itching,loss_of_appetite,passage_of_gases,indigestion,back_pain,vomiting,abdominal_pain,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,passage_of_gases,indigestion,loss_of_appetite,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,passage_of_gases,abdominal_pain,indigestion,,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,abdominal_pain,vomiting,indigestion,loss_of_appetite,internal_itching,passage_of_gases,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,loss_of_appetite,back_pain,passage_of_gases,indigestion,internal_itching,,,,,,,,,,,
Peptic ulcer diseae,vomiting,passage_of_gases,back_pain,abdominal_pain,internal_itching,loss_of_appetite,indigestion,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,back_pain,loss_of_appetite,indigestion,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,abdominal_pain,indigestion,internal_itching,loss_of_appetite,back_pain,,,,,,,,,,,
Peptic ulcer diseae,back_pain,passage_of_gases,abdominal_pain,vomiting,internal_itching,loss_of_appetite,indigestion,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,passage_of_gases,vomiting,back_pain,,,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,loss_of_appetite,vomiting,passage_of_gases,back_pain,abdominal_pain,indigestion,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,internal_itching,abdominal_pain,indigestion,vomiting,,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,internal_itching,back_pain,vomiting,indigestion,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,back_pain,internal_itching,indigestion,loss_of_appetite,,,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,vomiting,indigestion,back_pain,,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,vomiting,passage_of_gases,back_pain,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,back_pain,loss_of_appetite,abdominal_pain,indigestion,internal_itching,passage_of_gases,,,,,,,,,,
Peptic ulcer diseae,back_pain,passage_of_gases,abdominal_pain,vomiting,indigestion,internal_itching,,,,,,,,,,,
Peptic ulcer diseae,indigestion,back_pain,internal_itching,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,back_pain,loss_of_appetite,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,abdominal_pain,loss_of_appetite,back_pain,,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,internal_itching,vomiting,back_pain,indigestion,loss_of_appetite,passage_of_gases,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,abdominal_pain,vomiting,internal_itching,,,,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,loss_of_appetite,vomiting,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,indigestion,abdominal_pain,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,internal_itching,abdominal_pain,passage_of_gases,,,,,,,,,,,
Peptic ulcer diseae,indigestion,internal_itching,back_pain,loss_of_appetite,,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,internal_itching,indigestion,loss_of_appetite,back_pain,passage_of_gases,,,,,,,,,,,
Peptic ulcer diseae,vomiting,internal_itching,abdominal_pain,passage_of_gases,indigestion,back_pain,loss_of_appetite,,,,,,,,,,
Peptic ulcer diseae,internal_itching,loss_of_appetite,passage_of_gases,back_pain,abdominal_pain,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,back_pain,internal_itching,indigestion,passage_of_gases,loss_of_appetite,abdominal_pain,,,,,,,,,,
Peptic ulcer diseae,internal_itching,abdominal_pain,loss_of_appetite,indigestion,passage_of_gases,vomiting,back_pain,,,,,,,,,,
Peptic ulcer diseae,internal_itching,abdominal_pain,back_pain,vomiting,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,back_pain,internal_itching,abdominal_pain,indigestion,passage_of_gases,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,vomiting,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,back_pain,internal_itching,abdominal_pain,loss_of_appetite,vomiting,,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,vomiting,internal_itching,indigestion,,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,indigestion,vomiting,loss_of_appetite,,,,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,back_pain,vomiting,loss_of_appetite,internal_itching,indigestion,abdominal_pain,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,abdominal_pain,back_pain,loss_of_appetite,indigestion,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,vomiting,abdominal_pain,passage_of_gases,loss_of_appetite,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,vomiting,passage_of_gases,internal_itching,abdominal_pain,indigestion,loss_of_appetite,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,indigestion,vomiting,loss_of_appetite,,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,internal_itching,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,loss_of_appetite,back_pain,passage_of_gases,abdominal_pain,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,passage_of_gases,vomiting,internal_itching,loss_of_appetite,indigestion,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,vomiting,back_pain,loss_of_appetite,indigestion,abdominal_pain,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,vomiting,indigestion,passage_of_gases,back_pain,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,internal_itching,vomiting,indigestion,abdominal_pain,passage_of_gases,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,vomiting,abdominal_pain,internal_itching,,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,vomiting,passage_of_gases,abdominal_pain,back_pain,internal_itching,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,back_pain,loss_of_appetite,indigestion,vomiting,passage_of_gases,,,,,,,,,,,
Peptic ulcer diseae,back_pain,indigestion,passage_of_gases,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,abdominal_pain,vomiting,internal_itching,,,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,indigestion,abdominal_pain,passage_of_gases,loss_of_appetite,vomiting,back_pain,,,,,,,,,,
Peptic ulcer diseae,vomiting,passage_of_gases,loss_of_appetite,internal_itching,back_pain,indigestion,abdominal_pain,,,,,,,,,,
Peptic ulcer diseae,indigestion,back_pain,vomiting,passage_of_gases,,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,internal_itching,passage_of_gases,vomiting,back_pain,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,vomiting,internal_itching,passage_of_gases,abdominal_pain,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,vomiting,internal_itching,back_pain,passage_of_gases,abdominal_pain,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,abdominal_pain,internal_itching,vomiting,loss_of_appetite,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,passage_of_gases,indigestion,,,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,back_pain,loss_of_appetite,indigestion,abdominal_pain,passage_of_gases,vomiting,,,,,,,,,,
Peptic ulcer diseae,back_pain,internal_itching,indigestion,loss_of_appetite,passage_of_gases,vomiting,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,indigestion,internal_itching,passage_of_gases,abdominal_pain,back_pain,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,internal_itching,indigestion,vomiting,,,,,,,,,,,,,
Peptic ulcer diseae,internal_itching,abdominal_pain,back_pain,vomiting,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,vomiting,loss_of_appetite,passage_of_gases,abdominal_pain,indigestion,internal_itching,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,passage_of_gases,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,abdominal_pain,internal_itching,passage_of_gases,back_pain,loss_of_appetite,indigestion,,,,,,,,,,
Peptic ulcer diseae,indigestion,internal_itching,abdominal_pain,vomiting,loss_of_appetite,back_pain,passage_of_gases,,,,,,,,,,
Peptic ulcer diseae,vomiting,passage_of_gases,loss_of_appetite,internal_itching,abdominal_pain,back_pain,,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,internal_itching,passage_of_gases,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,internal_itching,vomiting,passage_of_gases,loss_of_appetite,indigestion,abdominal_pain,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,passage_of_gases,internal_itching,loss_of_appetite,vomiting,indigestion,back_pain,,,,,,,,,,
Peptic ulcer diseae,indigestion,vomiting,loss_of_appetite,passage_of_gases,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,back_pain,passage_of_gases,loss_of_appetite,internal_itching,abdominal_pain,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,passage_of_gases,loss_of_appetite,internal_itching,indigestion,abdominal_pain,back_pain,,,,,,,,,,
Peptic ulcer diseae,loss_of_appetite,passage_of_gases,back_pain,internal_itching,,,,,,,,,,,,,
Peptic ulcer diseae,abdominal_pain,back_pain,vomiting,internal_itching,passage_of_gases,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,loss_of_appetite,abdominal_pain,indigestion,passage_of_gases,back_pain,internal_itching,,,,,,,,,,
Peptic ulcer diseae,passage_of_gases,back_pain,loss_of_appetite,vomiting,indigestion,abdominal_pain,,,,,,,,,,,
Peptic ulcer diseae,back_pain,loss_of_appetite,internal_itching,abdominal_pain,vomiting,passage_of_gases,,,,,,,,,,,
Peptic ulcer diseae,indigestion,passage_of_gases,vomiting,back_pain,internal_itching,,,,,,,,,,,,
Peptic ulcer diseae,indigestion,internal_itching,passage_of_gases,abdominal_pain,,,,,,,,,,,,,
Peptic ulcer diseae,vomiting,passage_of_gases,indigestion,back_pain,loss_of_appetite,internal_itching,,,,,,,,,,,
Peptic ulcer diseae,vomiting,internal_itching,loss_of_appetite,back_pain,passage_of_gases,abdominal_pain,,,,,,,,,,,
Peptic ulcer diseae,vomiting,back_pain,passage_of_gases,abdominal_pain,internal_itching,loss_of_appetite,,,,,,,,,,,
Peptic ulcer diseae,indigestion,loss_of_appetite,passage_of_gases,internal_itching,abdominal_pain,,,,,,,,,,,,
